# mass             age              teff              Lbol            radius           logg             MKO_Y            MKO_J            MKO_H            MKO_K            MKO_Lp           MKO_Mp           W1               W2               W3               W4               IRAC_CH1         IRAC_CH2         
  0.00300000       5.54102033E-02   548.32136909     -5.89986317      0.12457314       3.72468690       18.13120689      17.19494917      17.93845952      18.45295422      14.96376559      15.99925330      16.86115943      14.51097190      11.86696148      11.21143432      16.12899860      14.63553182     
  0.00300000       7.01703829E-02   513.95976689     -6.02247103      0.12312125       3.73486979       18.57986147      17.64264541      18.41032586      19.05357489      15.29581773      16.23339420      17.29216583      14.71741029      12.05049120      11.33330024      16.52661989      14.84785478     
  0.00300000       8.88623816E-02   481.84222432     -6.14415561      0.12176940       3.74445934       19.12250320      18.17643470      18.94453348      19.73486186      15.65864412      16.52889477      17.77271017      14.94954278      12.24868441      11.46173300      16.97233644      15.08358113     
  0.00300000       1.12533558E-01   451.12441209     -6.26767152      0.12050485       3.75352663       19.68220065      18.73029359      19.48629250      20.49302351      16.01852834      16.66282986      18.25760611      15.14892493      12.46709922      11.59479026      17.40511810      15.28203957     
  0.00300000       1.42510267E-01   425.48776073     -6.37804387      0.11929906       3.76226166       20.18151520      19.23124668      19.96525132      21.15868348      16.33260355      16.73293827      18.68644033      15.30775774      12.65754702      11.70812840      17.78814170      15.43695847     
  0.00300000       1.80472177E-01   399.75192407     -6.49482375      0.11814949       3.77067185       20.88363186      19.95257455      20.62328918      22.06434849      16.73176626      16.77764249      19.24869867      15.50332450      12.90751620      11.85063000      18.28526487      15.62081533     
  0.00300000       2.28546386E-01   379.68650692     -6.59252901      0.11703564       3.77889937       21.42256328      20.52573620      21.15121927      22.79075206      17.03585414      16.72833240      19.69151652      15.62013594      13.11495770      11.96582933      18.67352973      15.72266351     
  0.00300000       2.89426612E-01   359.15706761     -6.69719867      0.11594575       3.78702595       22.14451050      21.28469075      21.82393452      23.75698840      17.42008340      16.73382682      20.24799121      15.80178539      13.37832701      12.10607183      19.15548916      15.89069775     
  0.00300000       3.66524124E-01   342.76733554     -6.78633735      0.11488279       3.79502569       22.78630036      21.97962661      22.43923229      24.59958646      17.74393549      16.64567283      20.73350606      15.91394352      13.61343987      12.22845377      19.57292497      15.98829022     
  0.00300000       4.64158883E-01   328.84843266     -6.86665698      0.11379086       3.80332090       23.44290292      22.64995643      23.00688805      25.44667868      18.06190866      16.67881621      21.20263532      16.06654734      13.84108110      12.34859218      19.97616738      16.12738439     
  0.00300000       5.87801607E-01   313.66290959     -6.95728848      0.11268358       3.81181437       24.18203093      23.40759476      23.65656074      26.37093763      18.39545315      16.63687414      21.70612595      16.19582194      14.08959812      12.47594850      20.40859903      16.24103044     
  0.00300000       7.44380301E-01   297.93856902     -7.05511002      0.11158805       3.82030028       25.14467803      24.34254244      24.43254737      27.48957185      18.80550494      16.64484315      22.30286786      16.38185020      14.36886532      12.61776268      20.92550039      16.41207285     
  0.00300000       9.42668455E-01   283.72230806     -7.14850452      0.11050693       3.82875662       26.08999766      25.23407823      25.16857367      28.57749596      19.19327441      16.66222398      22.88456930      16.54833492      14.63424650      12.75388686      21.43070316      16.56341869     
  0.00300000       1.19377664E+00   268.31726320     -7.25392300      0.10943698       3.83720742       27.16620846      26.24169503      25.98535162      29.84177673      19.62133537      16.82183635      23.53066589      16.76087028      14.92691395      12.90618119      22.00193707      16.76409623     
  0.00300000       1.51177507E+00   252.22747807     -7.36955632      0.10840794       3.84541333       28.54195523      27.52900792      27.02316334      31.39339264      20.16049202      17.02007753      24.31208818      17.02761195      15.26061706      13.07671674      22.70312863      17.02106203     
