# mass             age              teff             Lbol             radius           logg             MIRI-F1065C      MIRI-F1140C      MIRI-F1550C      MIRI-F2300C     
  0.00400000       1.70125428E-02   888.14116296     -4.99048539      0.13527784       3.77802144       10.75732124      10.41098216      10.42520948      10.39195568     
  0.00400000       2.15443469E-02   832.74739407     -5.11838451      0.13280811       3.79402603       10.93506622      10.55250975      10.54720440      10.50923312     
  0.00400000       2.72833338E-02   779.72054908     -5.24734081      0.13058147       3.80871169       11.11764508      10.69953293      10.67484626      10.62891120     
  0.00400000       3.45510729E-02   729.61969568     -5.37634004      0.12855030       3.82232857       11.30886420      10.85342884      10.80907658      10.75289959     
  0.00400000       4.37547938E-02   680.09427064     -5.51098665      0.12670848       3.83486341       11.51211456      11.01223114      10.94742087      10.87922960     
  0.00400000       5.54102033E-02   632.19649688     -5.64928946      0.12505070       3.84630230       11.73741416      11.18249411      11.09040118      11.00860402     
  0.00400000       7.01703829E-02   589.90834173     -5.77994787      0.12356314       3.85669659       11.96009514      11.36118249      11.23725703      11.13566158     
  0.00400000       8.88623816E-02   555.92552344     -5.89293719      0.12215905       3.86662323       12.15560155      11.52671295      11.36909127      11.24932902     
  0.00400000       1.12533558E-01   521.13079995     -6.01469243      0.12083341       3.87610020       12.38263782      11.71324230      11.51275779      11.36995586     
  0.00400000       1.42510267E-01   487.85574761     -6.13821061      0.11960196       3.88499788       12.64358071      11.92643463      11.67664748      11.50106269     
  0.00400000       1.80472177E-01   456.54044141     -6.26189043      0.11844748       3.89342264       12.92028833      12.16377846      11.85524560      11.63956565     
  0.00400000       2.28546386E-01   429.08191090     -6.37765353      0.11736241       3.90141635       13.14568828      12.36059496      12.00028446      11.74901839     
  0.00400000       2.89426612E-01   402.72699217     -6.49540928      0.11633253       3.90907200       13.45129844      12.63155986      12.19822171      11.89063184     
  0.00400000       3.66524124E-01   381.45645781     -6.59712785      0.11534032       3.91651201       13.73337169      12.86877059      12.36897766      12.01044281     
  0.00400000       4.64158883E-01   359.94001714     -6.70528759      0.11437074       3.92384441       14.07008806      13.17106406      12.57690788      12.15218422     
  0.00400000       5.87801607E-01   343.05347612     -6.79595918      0.11342998       3.93101857       14.37237565      13.41773193      12.76266425      12.26932051     
  0.00400000       7.44380301E-01   329.23843966     -6.87481230      0.11246088       3.93847148       14.65535988      13.67320344      12.93655809      12.38354162     
  0.00400000       9.42668455E-01   314.16655520     -6.96387890      0.11147181       3.94614430       14.98109177      13.95509570      13.12393563      12.50498704     
  0.00400000       1.19377664E+00   298.44610521     -7.06080181      0.11048286       3.95388448       15.37317927      14.29719626      13.33489766      12.64446492     
  0.00400000       1.51177507E+00   284.14787646     -7.15385100      0.10949735       3.96166707       15.76384890      14.63538009      13.53397319      12.77859798     
  0.00400000       1.91448198E+00   268.75312289     -7.25840076      0.10852150       3.96944267       16.20780698      15.01934379      13.74104504      12.92472932     
  0.00400000       2.42446202E+00   252.69575885     -7.37300704      0.10757741       3.97703208       16.73813833      15.47336298      13.95691298      13.08334561     
  0.00400000       3.07029063E+00   241.78845337     -7.45723461      0.10664524       3.98459125       17.18427734      15.84920887      14.11075863      13.20377431     
  0.00400000       3.88815518E+00   230.75672092     -7.54619489      0.10568652       3.99243505       17.73018785      16.29928502      14.25905043      13.33076920     
  0.00400000       4.92388263E+00   218.59551151     -7.64815748      0.10473030       4.00032951       18.40672251      16.84982334      14.41468702      13.47283304     
  0.00400000       6.23550734E+00   205.42121811     -7.76386586      0.10380210       4.00806193       19.18301514      17.47711129      14.57846020      13.62730857     
  0.00500000       1.00000000E-03   1874.94032989    -3.31429282      0.20907549       3.49678041       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00500000       1.26638017E-03   1823.08243696    -3.40965453      0.19814656       3.54341292       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00500000       1.60371874E-03   1732.64901073    -3.54175716      0.18841944       3.58713518       8.59246225       8.58333181       8.72847918       8.72135868      
  0.00500000       2.03091762E-03   1653.70755165    -3.66153203      0.18019689       3.62588996       8.77756595       8.75715844       8.91562258       8.91073026      
  0.00500000       2.57191381E-03   1581.35242589    -3.77570432      0.17278829       3.66235643       8.95577595       8.92012244       9.08452887       9.08010083      
  0.00500000       3.25702066E-03   1506.66497045    -3.89364359      0.16617630       3.69624811       9.13835481       9.08343728       9.24972769       9.24476252      
  0.00500000       4.12462638E-03   1422.19847697    -4.02496901      0.16033217       3.72734452       9.34043989       9.25639259       9.41988997       9.41355458      
  0.00500000       5.22334507E-03   1344.41040902    -4.15085117      0.15521966       3.75549284       9.53812011       9.42241988       9.57689615       9.56811465      
  0.00500000       6.61474064E-03   1271.09422614    -4.27423842      0.15064727       3.78146367       9.73231572       9.58391202       9.72379876       9.71262432      
  0.00500000       8.37677640E-03   1198.57480504    -4.40034648      0.14652782       3.80554409       9.92389277       9.74198691       9.86284054       9.84891792      
  0.00500000       1.06081836E-02   1129.78888854    -4.52517763      0.14283940       3.82768930       10.11201976      9.89370473       9.99191461       9.97524419      
  0.00500000       1.34339933E-02   1064.71260066    -4.64865542      0.13952130       3.84810416       10.28908736      10.03773290      10.11293353      10.09446700     
  0.00500000       1.70125428E-02   1001.46600966    -4.77400967      0.13650331       3.86709790       10.47081235      10.18537736      10.23544363      10.21502461     
  0.00500000       2.15443469E-02   941.19094504     -4.89948911      0.13376475       3.88470161       10.65929301      10.33711374      10.36540069      10.34020056     
  0.00500000       2.72833338E-02   881.09107168     -5.03028231      0.13129796       3.90086927       10.85135489      10.48985544      10.49768247      10.46761599     
  0.00500000       3.45510729E-02   823.29227224     -5.16292720      0.12908140       3.91565771       11.03429309      10.63555485      10.62441481      10.58825688     
  0.00500000       4.37547938E-02   769.56279568     -5.29369823      0.12708236       3.92921388       11.22288143      10.78720221      10.75509945      10.71087390     
  0.00500000       5.54102033E-02   718.45981031     -5.42562456      0.12526303       3.94173911       11.42097820      10.94554102      10.89089144      10.83699707     
  0.00500000       7.01703829E-02   669.10841803     -5.56072012      0.12361675       3.95322991       11.62836517      11.10494703      11.02710532      10.96249636     
  0.00500000       8.88623816E-02   622.09513872     -5.69772935      0.12213416       3.96370992       11.85991530      11.27999579      11.17055705      11.09181988     
  0.00500000       1.12533558E-01   582.75356382     -5.82086911      0.12078923       3.97332809       12.07827280      11.45669915      11.31231327      11.21457840     
  0.00500000       1.42510267E-01   548.61668187     -5.93501931      0.11950639       3.98260231       12.28338961      11.62931225      11.44727931      11.33022952     
  0.00500000       1.80472177E-01   512.95235642     -6.06059529      0.11829970       3.99141705       12.53058278      11.83187576      11.60064796      11.45664952     
  0.00500000       2.28546386E-01   479.90921580     -6.18450356      0.11718015       3.99967624       12.81468235      12.07248316      11.78178539      11.59803109     
  0.00500000       2.89426612E-01   448.78810591     -6.30877826      0.11613404       4.00746525       13.06996067      12.28759302      11.94264214      11.72086930     
  0.00500000       3.66524124E-01   422.11647680     -6.42264250      0.11514582       4.01488793       13.31497142      12.50077379      12.09996984      11.83551758     
  0.00500000       4.64158883E-01   396.59161430     -6.53808644      0.11420801       4.02199123       13.63074472      12.78169588      12.30701623      11.97892221     
  0.00500000       5.87801607E-01   374.98114604     -6.64237532      0.11329620       4.02895354       13.93605708      13.04347617      12.48394333      12.10094691     
  0.00500000       7.44380301E-01   352.89998694     -6.75460440      0.11241506       4.03573530       14.30279216      13.36102180      12.71247460      12.24816444     
  0.00500000       9.42668455E-01   338.78867979     -6.83226186      0.11154273       4.04250184       14.57639095      13.58836011      12.87702179      12.35510083     
  0.00500000       1.19377664E+00   324.59594264     -6.91367482      0.11063508       4.04959861       14.87661936      13.85763668      13.05029355      12.46563880     
  0.00500000       1.51177507E+00   309.19679211     -7.00543183      0.10970952       4.05689568       15.21355874      14.15244050      13.24294514      12.59126581     
  0.00500000       1.91448198E+00   293.99090541     -7.10036362      0.10878541       4.06424293       15.62078784      14.50525306      13.45301771      12.73025691     
  0.00500000       2.42446202E+00   279.33243326     -7.19661702      0.10786150       4.07165132       16.02350166      14.85459772      13.64922050      12.86512972     
  0.00500000       3.07029063E+00   263.77088589     -7.30357700      0.10695127       4.07901237       16.48589997      15.25412015      13.85200704      13.01127372     
  0.00500000       3.88815518E+00   248.51385423     -7.41424293      0.10607168       4.08618538       17.02291310      15.71305516      14.05560952      13.16383550     
  0.00500000       4.92388263E+00   238.28515681     -7.49457082      0.10518458       4.09348004       17.47817490      16.09318116      14.19443669      13.27804462     
  0.00500000       6.23550734E+00   226.80110408     -7.58784310      0.10428173       4.10096776       18.07612124      16.58343875      14.34146074      13.40900568     
  0.00500000       7.89652287E+00   214.17691306     -7.69478927      0.10339084       4.10842010       18.79683775      17.16821086      14.49647429      13.55455998     
  0.00500000       1.00000000E+01   200.34531482     -7.81796642      0.10253812       4.11561357       19.58867191      17.80915906      14.66604107      13.71505518     
  0.00600000       1.00000000E-03   2009.36667196    -3.14854462      0.22031339       3.53048641       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00600000       1.26638017E-03   1942.97069547    -3.25648932      0.20808552       3.58008233       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00600000       1.60371874E-03   1879.27897647    -3.36090132      0.19723636       3.62659300       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00600000       2.03091762E-03   1820.37497246    -3.46086012      0.18735920       3.67121782       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00600000       2.57191381E-03   1728.57908512    -3.59230062      0.17860600       3.71277576       8.72547066       8.71466612       8.86325948       8.85832648      
  0.00600000       3.25702066E-03   1646.77370728    -3.71375371      0.17111156       3.75000892       8.91024975       8.88625412       9.04572741       9.04261624      
